,4.20%,10.30%,13%,"15,1,%",20.40%,25.60%,30.20%,35%,40%,45.40%,49.80%,59.60%,,Very Tight,Tight,Normal,Loose,Very Loose
VS," [99+, AQs+,AKo]","77+,A9s+,KTs+,QTs+,AJo+,Kqo","77+,A8s+,K9s+,QTs+,JTs,ATo+,KJo+","[77+,A7s+,K9s+,QTs+,JTs,ATo+,KTo+,Qjo]","66+,A4s+,K8s+,Q9s+,J9s+,T9s,A9o+,KTo+,QTo+,Jto","VS, [55+,A2s+,K6s+,Q8s+,J8s+,T8s+,A7o+,K9o+,QTo+,JTo]","[55+,A2s+,K5s+,Q7s+,J8s+,T8s+,98s,A7o+,A5o,K9o+,Q9o+,J9o+,T9o]","[55+,A2s+,K3s+,Q5s+,J7s+,T7s+,97s+,87s,A4o+,K8o+,Q9o+,J9o+,T9o]","[44+,A2s+,K2s+,Q4s+,J7s+,T7s+,97s+,87s,A3o+,K7o+,Q8o+,J8o+,T9o]","[44+,A2s+,K2s+,Q3s+,J6s+,T6s+,96s+,86s+,76s,A2o+,K6o+,Q8o+,J8o+,T8o+,98o]","[33+,A2s+,K2s+,Q2s+,J4s+,T6s+,96s+,86s+,76s,65s,A2o+,K5o+,Q7o+,J7o+,T8o+,98o]","[22+,A2s+,K2s+,Q2s+,J2s+,T3s+,95s+,85s+,75s+,64s+,54s,A2o+,K3o+,Q5o+,J7o+,T7o+,97o+,87o]",,"[99+, AQs+, AK]","[66+, A9s+, AT+, KQs]","[22+, A5s+, A8+, KJs+, KQ]","[22+, A2s+, A2+, K9s+, KT+, QJs+, QJ]",
AA,0.8286,0.8426,0.8467,0.8486,0.8459,0.8484,0.8469,0.8481,0.8499,0.8483,0.8487,0.8477,,0.8286,0.8463,0.8517,0.8635,0.8577
KK,0.6825,0.7345,0.7423,0.7558,0.7644,0.7654,0.7732,0.7753,0.7815,0.7851,0.7915,0.8005,,0.6825,0.7154,0.7328,0.7401,0.7896
QQ,0.5644,0.653,0.6689,0.6802,0.7058,0.7117,0.7258,0.7285,0.7352,0.742,0.7487,0.7598,,0.5644,0.6575,0.6883,0.6997,0.7309
JJ,0.486,0.581,0.6048,0.6165,0.649,0.6661,0.6813,0.6889,0.6952,0.7069,0.7122,0.7258,,0.486,0.6004,0.6466,0.6672,0.6961
TT,0.4127,0.5316,0.5495,0.5575,0.5925,0.6206,0.6378,0.6511,0.6602,0.6738,0.6791,0.6958,,0.4127,0.5474,0.6136,0.6353,0.6674
99,0.3324,0.4862,0.5036,0.5129,0.5405,0.5735,0.5859,0.6053,0.6196,0.6331,0.6418,0.66,,0.3324,0.4979,0.5752,0.6038,0.632
88,0.3143,0.4533,0.4725,0.4848,0.5119,0.5404,0.5489,0.5686,0.5828,0.595,0.6069,0.627,,0.3143,0.465,0.5426,0.5812,0.6019
AKs,0.4595,0.5909,0.6188,0.6313,0.6389,0.6502,0.6544,0.6616,0.6645,0.6663,0.6665,0.6669,,0.4595,0.5727,0.6024,0.6509,0.6741
77,0.3148,0.4214,0.4459,0.4585,0.4899,0.5135,0.5232,0.5412,0.5526,0.5633,0.5746,0.5941,,0.3148,0.4309,0.5151,0.5597,0.5775
AQs,0.3713,0.5305,0.5636,0.5819,0.6049,0.6183,0.6289,0.637,0.6417,0.6448,0.6468,0.65,,0.3713,0.5095,0.5626,0.619,0.644
AJs,0.3403,0.4642,0.5153,0.5407,0.5726,0.5922,0.6051,0.6156,0.6215,0.627,0.6303,0.6345,,0.3403,0.4453,0.5186,0.5926,0.6242
AKo,0.4314,0.5707,0.6002,0.6136,0.6211,0.633,0.6372,0.6445,0.6475,0.6492,0.6493,0.6495,,0.4314,0.5515,0.5831,0.6342,0.6584
ATs,0.3245,0.4304,0.4668,0.4965,0.5414,0.5668,0.5829,0.5961,0.6028,0.6112,0.6139,0.6219,,0.3245,0.3878,0.4818,0.5613,0.6092
AQo,0.3331,0.5059,0.5408,0.5603,0.5846,0.5985,0.6098,0.618,0.6231,0.6262,0.6283,0.6314,,0.3331,0.4841,0.5404,0.5999,0.6257
AJo,0.3033,0.4347,0.4892,0.5162,0.5501,0.5706,0.5843,0.595,0.6013,0.607,0.6105,0.6149,,0.3033,0.4153,0.4934,0.5717,0.6044
KQs,0.3396,0.4248,0.4581,0.4891,0.514,0.5235,0.5413,0.55,0.5606,0.5701,0.5802,0.5973,,0.3396,0.3937,0.4286,0.4715,0.5697
66,0.316,0.4095,0.4343,0.4473,0.4701,0.4939,0.5049,0.5192,0.5311,0.5388,0.5484,0.5657,,0.316,0.399,0.4921,0.5391,0.5567
A9s,0.2979,0.4004,0.428,0.4553,0.4907,0.5236,0.5477,0.5638,0.5729,0.5829,0.5873,0.597,,0.2979,0.3476,0.438,0.5223,0.5804
ATo,0.2866,0.3978,0.4373,0.4689,0.5166,0.5434,0.5605,0.5741,0.5813,0.5901,0.5929,0.6014,,0.2866,0.3537,0.454,0.5382,0.5883
KJs,0.3297,0.3876,0.4116,0.4483,0.4831,0.4989,0.5194,0.5306,0.5423,0.5539,0.5647,0.5827,,0.3297,0.3772,0.4069,0.451,0.5515
A8s,0.3012,0.3895,0.4143,0.4427,0.4711,0.499,0.5177,0.5381,0.5527,0.566,0.5722,0.5843,,0.3012,0.3369,0.4081,0.4973,0.561
KTs,0.3139,0.3789,0.3842,0.4068,0.4539,0.4754,0.4992,0.513,0.5257,0.5395,0.5503,0.5705,,0.3139,0.367,0.3984,0.429,0.5366
KQo,0.3027,0.394,0.429,0.4621,0.4885,0.4983,0.517,0.5259,0.5372,0.547,0.5577,0.5757,,0.3027,0.359,0.3974,0.4424,0.5471
A7s,0.3026,0.3831,0.4064,0.4331,0.461,0.4784,0.4985,0.5191,0.5321,0.5433,0.5537,0.5707,,0.3026,0.33,0.3919,0.4748,0.5449
A9o,0.2581,0.3649,0.3946,0.4241,0.4624,0.4972,0.5226,0.5395,0.5492,0.5598,0.5644,0.5746,,0.2581,0.3086,0.407,0.4964,0.5575
KJo,0.2929,0.3525,0.3793,0.4185,0.4554,0.4719,0.4935,0.505,0.5174,0.5296,0.541,0.56,,0.2929,0.3425,0.3735,0.4205,0.5274
55,0.3151,0.4072,0.4313,0.4438,0.4578,0.4762,0.4845,0.4991,0.513,0.5189,0.5269,0.5418,,0.3151,0.386,0.4677,0.5186,0.5377
QJs,0.3373,0.3664,0.3795,0.3904,0.4405,0.4531,0.48,0.4882,0.4985,0.5118,0.5224,0.5417,,0.3373,0.3756,0.4059,0.4243,0.4877
K9s,0.283,0.3533,0.364,0.3789,0.4174,0.4359,0.4654,0.4819,0.4968,0.5121,0.5241,0.5461,,0.283,0.3551,0.3782,0.4031,0.5078
A5s,0.3142,0.3912,0.4134,0.4372,0.4569,0.4692,0.4868,0.501,0.5131,0.5231,0.5336,0.5512,,0.3142,0.3341,0.3857,0.4508,0.5281
A6s,0.3003,0.3798,0.4028,0.4274,0.4519,0.4664,0.486,0.502,0.5138,0.5287,0.537,0.5529,,0.3003,0.3207,0.3809,0.4539,0.5294
A8o,0.2622,0.3542,0.3796,0.4102,0.4407,0.4708,0.4906,0.512,0.5276,0.5416,0.5482,0.561,,0.2622,0.2988,0.375,0.4695,0.5367
KTo,0.2762,0.343,0.3489,0.3741,0.4241,0.4468,0.4718,0.4861,0.4996,0.5141,0.5255,0.547,,0.2762,0.3318,0.365,0.3969,0.5115
QTs,0.3224,0.3584,0.3707,0.3659,0.4117,0.4307,0.46,0.4711,0.4829,0.4979,0.5088,0.53,,0.3224,0.3656,0.402,0.4133,0.4747
A4s,0.3105,0.3884,0.411,0.435,0.4537,0.4641,0.4803,0.4931,0.505,0.5152,0.524,0.5411,,0.3105,0.3309,0.3773,0.4391,0.5198
A7o,0.2638,0.3474,0.3719,0.3999,0.4298,0.4485,0.4698,0.4917,0.5055,0.5173,0.5283,0.5463,,0.2638,0.2915,0.3567,0.4454,0.5194
K8s,0.2796,0.3421,0.3474,0.3635,0.4026,0.4133,0.4381,0.452,0.47,0.4877,0.5009,0.5244,,0.2796,0.343,0.3625,0.3884,0.4802
A3s,0.3071,0.3855,0.4082,0.4325,0.4512,0.4614,0.4779,0.49,0.4995,0.5101,0.5182,0.5344,,0.3071,0.3274,0.3695,0.4314,0.5138
QJo,0.3013,0.3305,0.3446,0.357,0.4105,0.4235,0.4521,0.4604,0.4713,0.4852,0.4965,0.5167,,0.3013,0.3413,0.3732,0.3921,0.4595
K9o,0.2433,0.3165,0.3265,0.3427,0.3845,0.4044,0.4356,0.4528,0.4686,0.4848,0.4975,0.5207,,0.2433,0.3187,0.3434,0.3688,0.4806
A5o,0.2763,0.3564,0.3796,0.4049,0.4255,0.4383,0.4572,0.4721,0.485,0.4955,0.5067,0.5256,,0.2763,0.2963,0.3503,0.4199,0.5013
A6o,0.2614,0.344,0.3681,0.3943,0.4199,0.4353,0.4561,0.4731,0.4857,0.5016,0.5104,0.5273,,0.2614,0.2817,0.3449,0.4231,0.5027
Q9s,0.294,0.3364,0.3539,0.3562,0.3837,0.4005,0.4266,0.4406,0.4543,0.4709,0.4829,0.506,,0.294,0.3537,0.3816,0.3982,0.4474
K7s,0.2823,0.338,0.3468,0.3604,0.3983,0.4054,0.4304,0.4429,0.4552,0.4711,0.4866,0.513,,0.2823,0.3393,0.3661,0.3861,0.466
JTs,0.3214,0.3581,0.3612,0.3583,0.3875,0.4113,0.4355,0.4484,0.4572,0.4751,0.4831,0.503,,0.3214,0.3669,0.4088,0.4183,0.4522
A2s,0.3031,0.3824,0.4054,0.43,0.4488,0.4586,0.4753,0.4869,0.4964,0.5061,0.5135,0.5277,,0.3031,0.3234,0.3614,0.4234,0.5076
QTo,0.2856,0.3216,0.3349,0.3298,0.3796,0.3995,0.4306,0.4421,0.4546,0.4703,0.4818,0.5042,,0.2856,0.3306,0.3693,0.3803,0.4456
44,0.3106,0.4025,0.4263,0.4387,0.4504,0.4634,0.4711,0.4818,0.4924,0.4996,0.5066,0.5183,,0.3106,0.3815,0.4429,0.494,0.5164
A4o,0.2723,0.3534,0.377,0.4025,0.422,0.4329,0.45,0.4636,0.4763,0.487,0.4964,0.5145,,0.2723,0.293,0.342,0.4073,0.4923
K6s,0.2831,0.3387,0.3473,0.3624,0.3949,0.4036,0.4275,0.4351,0.446,0.4609,0.4741,0.4984,,0.2831,0.3337,0.3621,0.3823,0.4528
K8o,0.24,0.3048,0.3098,0.327,0.3682,0.3798,0.4063,0.4209,0.44,0.4586,0.4726,0.4975,,0.24,0.3061,0.3266,0.3533,0.4511
Q8s,0.2874,0.3245,0.3415,0.3446,0.3719,0.3858,0.4054,0.4172,0.4286,0.4474,0.4604,0.4849,,0.2874,0.3414,0.3655,0.3856,0.4228
A3o,0.2686,0.3502,0.374,0.3998,0.4195,0.4299,0.4473,0.4601,0.4703,0.4815,0.4901,0.5073,,0.2686,0.2891,0.3335,0.399,0.4858
K5s,0.282,0.3379,0.3466,0.3617,0.3925,0.3987,0.4186,0.4283,0.4395,0.4516,0.4639,0.4887,,0.282,0.3322,0.3559,0.3754,0.4416
J9s,0.2937,0.3429,0.3478,0.3515,0.3669,0.3867,0.4024,0.4181,0.4287,0.4481,0.457,0.479,,0.2937,0.355,0.3884,0.4034,0.4254
Q9o,0.2553,0.2996,0.3174,0.3196,0.3487,0.3666,0.3949,0.4094,0.4239,0.4414,0.4541,0.4784,,0.2553,0.3175,0.3475,0.3641,0.4163
JTo,0.2856,0.3228,0.3251,0.3219,0.3542,0.3793,0.4049,0.4184,0.4276,0.4464,0.4549,0.4759,,0.2856,0.3327,0.3767,0.3859,0.4218
K7o,0.2431,0.3004,0.3095,0.3237,0.364,0.371,0.3977,0.4108,0.4241,0.4409,0.4573,0.4853,,0.2431,0.3022,0.3305,0.3508,0.4357
A2o,0.2642,0.3468,0.3709,0.3969,0.4168,0.4268,0.4445,0.4566,0.4669,0.4771,0.485,0.5,,0.2642,0.2848,0.3248,0.3904,0.4792
K4s,0.2783,0.3346,0.3436,0.359,0.3895,0.3951,0.4168,0.4226,0.433,0.4455,0.457,0.4789,,0.2783,0.3292,0.3502,0.3684,0.4331
Q7s,0.2789,0.31,0.3303,0.3314,0.3608,0.3698,0.3886,0.4031,0.4086,0.4259,0.4372,0.4638,,0.2789,0.3252,0.3572,0.3719,0.4021
K6o,0.244,0.3014,0.3101,0.3261,0.3604,0.369,0.3944,0.4022,0.4138,0.43,0.4439,0.4697,,0.244,0.2962,0.3262,0.3469,0.4216
K3s,0.2748,0.3312,0.3402,0.3558,0.3879,0.392,0.4141,0.4214,0.4281,0.4408,0.4514,0.4723,,0.2748,0.3258,0.3428,0.3612,0.4268
T9s,0.2894,0.3525,0.3542,0.3564,0.3634,0.3835,0.3902,0.4073,0.4157,0.4356,0.4408,0.4642,,0.2894,0.3554,0.394,0.4113,0.4211
J8s,0.2865,0.3311,0.3355,0.3399,0.3573,0.3724,0.3864,0.3991,0.4037,0.4251,0.4347,0.4584,,0.2865,0.3428,0.3728,0.3907,0.4057
33,0.3059,0.3972,0.4208,0.433,0.4443,0.4555,0.4634,0.472,0.4761,0.4836,0.4879,0.4973,,0.3059,0.3765,0.4188,0.469,0.4948
Q6s,0.2821,0.3133,0.3332,0.3362,0.3598,0.3727,0.3898,0.3987,0.4064,0.4217,0.4308,0.4532,,0.2821,0.3219,0.3556,0.3709,0.3981
Q8o,0.2487,0.2871,0.3045,0.3075,0.3363,0.3508,0.3717,0.3841,0.3965,0.4163,0.43,0.4558,,0.2487,0.3047,0.3303,0.3507,0.3901
