Opponents:,1,2,3
AA,85.3,73.4,63.9
KK,82.4,68.9,58.2
QQ,79.9,64.9,53.5
Aks,67,50.7,41.4
AQs,66.1,49.4,39.9
JJ,77.5,61.2,49.2
KQs,63.4,47.1,38.2
AJs,65.4,48.2,38.5
KJs,62.6,45.9,36.8
ATs,64.7,47.1,37.2
AKo,65.4,48.2,38.6
TT,75.1,57.7,45.2
QJs,60.3,44.1,35.6
KTs,61.9,44.9,35.7
QTs,59.5,43.1,34.6
JTs,57.5,41.9,33.8
99,72.1,53.5,41.1
AQo,64.5,46.8,36.9
A9s,63,44.8,34.6
KQo,61.4,44.4,35.2
T9s,54.3,38.9,31
A8s,62.1,43.7,33.6
K9s,60,42.4,32.9
J9s,55.8,39.6,31.3
A5s,59.9,41.4,31.8
Q9s,57.9,40.7,31.9
88,69.1,49.9,37.5
AJo,63.6,45.6,35.4
A7s,61.1,42.6,32.6
A4s,58.9,40.4,30.9
A6s,60,41.3,31.4
A3s,58,39.4,30
KJo,60.6,43.1,33.6
QJo,58.2,41.4,32.6
77,66.2,46.4,34.4
T8s,52.6,36.9,29
K8s,58.5,40.2,30.8
ATo,62.9,44.4,34.1
A2s,57,38.5,29.2
98s,51.1,36,28.5
K7s,57.8,39.4,30.1
Q8s,56.2,38.6,29.7
J8s,54.2,37.5,29.1
KTo,59.9,42,32.5
JTo,55.4,39,30.7
66,63.3,43.2,31.5
QTo,57.4,40.2,31.3
K6s,56.8,38.4,29.1
87s,48.2,33.9,26.6
K5s,55.8,37.4,28.2
97s,49.5,34.2,26.8
T7s,51,34.9,27
K4s,54.7,36.4,27.4
76s,45.7,32,25.1
55,60.3,40.1,28.8
K3s,53.8,35.5,26.7
Q7s,54.5,36.7,27.9
44,57,36.8,26.3
J7s,52.4,35.4,27.1
33,53.7,33.5,23.9
22,50.3,30.7,22
K2s,52.9,34.6,26
86s,46.5,32,25
65s,43.2,30.2,23.7
Q6s,53.8,35.8,27.1
54s,41.1,28.8,22.6
Q5s,52.9,34.9,26.3
96s,47.7,32.3,24.9
75s,43.8,30.1,23.4
Q4s,51.7,33.9,25.5
T9o,51.7,35.7,27.7
A9o,60.9,41.8,31.2
T6s,49.2,32.8,25.1
Q3s,50.7,33,24.7
J6s,50.8,33.6,25.4
64s,41.4,28.5,22.1
Q2s,49.9,32.2,24
85s,44.8,30.2,23.2
K9o,58,39.5,29.6
J9o,53.4,36.5,27.9
J5s,50,32.8,24.7
53s,39.3,27.1,21.1
Q9o,55.5,37.6,28.5
A8o,60.1,40.8,30.1
J4s,49,31.8,24
J3s,47.9,30.9,23.2
74s,41.8,28.2,21.7
95s,45.9,30.4,23.2
43s,38,26.2,20.3
J2s,47.1,30.1,22.6
T5s,47.2,30.8,23.3
A7o,59.1,39.4,28.9
A5o,57.7,38.2,27.9
T4s,46.4,30.1,22.7
63s,39.4,26.5,20.4
T8o,50,33.6,25.4
98o,48.4,32.9,25.1
A4o,56.4,36.9,26.9
T3s,45.5,29.3,22
84s,42.7,28.1,21.4
52s,37.5,25.3,19.5
T2s,44.7,28.5,21.4
A6o,57.8,38,27.6
42s,36.3,24.6,18.8
A3o,55.6,35.9,26.1
J8o,51.7,34.2,25.6
K8o,56.3,37.2,27.3
94s,43.8,28.4,21.3
87o,45.5,30.6,23.2
73s,40,26.3,20
Q8o,53.8,35.4,26.2
93s,43.2,27.8,20.8
32s,35.1,23.6,18
A2o,54.6,35,25.2
92s,42.3,27,20.2
62s,37.5,24.8,18.8
K7o,55.4,36.1,26.3
83s,40.8,26.3,19.8
97o,46.7,30.9,23.1
82s,40.3,25.8,19.4
76o,42.7,28.5,21.5
K6o,54.3,35,25.3
T7o,48.2,31.4,23.4
72s,38.1,24.5,18.4
65o,40.1,26.7,20
K5o,53.3,34,24.5
86o,43.6,28.6,21.3
54o,37.9,25.2,18.8
J7o,49.9,32.1,23.5
K4o,52.1,32.8,23.4
Q7o,51.9,33.2,24
75o,40.8,26.5,19.7
K3o,51.2,31.9,22.7
96o,44.9,28.8,21.2
K2o,50.2,30.9,21.8
Q6o,51.1,32.3,23.2
64o,38,24.7,18.2
Q5o,50.2,31.3,22.3
T6o,46.3,29.2,21.2
85o,41.7,26.5,19.4
53o,35.8,23.3,17.1
Q4o,49,30.2,21.4
J6o,47.9,29.8,21.4
Q3o,47.9,29.2,20.7
Q2o,47,28.4,19.9
74o,38.6,24.5,17.9
43o,34.4,22.3,16.3
J5o,47.1,29.1,20.7
95o,42.9,26.7,19.2
J4o,46.1,28.1,19.9
63o,35.9,22.7,16.4
T5o,44.2,27.1,19.3
J3o,45,27.1,19.1
J2o,44,26.2,18.4
T4o,43.4,26.4,18.7
52o,33.9,21.3,15.3
84o,39.6,24.4,17.5
T3o,42.4,25.5,18
42o,32.5,20.5,14.7
T2o,41.5,24.7,17.3
73o,36.6,22.4,16
94o,40.7,24.6,17.3
32o,31.2,19.5,13.9
93o,39.9,23.9,16.7
62o,34,20.7,14.6
92o,38.9,22.9,16
83o,37.5,22.4,15.7
82o,36.8,21.7,15.1
72o,34.6,20.4,14.2
